window_id,case_id,group_id,state,label,severity_pct,phase,load_label,load_pct,inception_s,variant,region,src_start,scale
0,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,67000,0.0047647012397646
1,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,71000,0.0047647012397646
2,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,75000,0.0047647012397646
3,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,79000,0.0047647012397646
4,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,83000,0.0047647012397646
5,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,87000,0.0047647012397646
6,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,91000,0.0047647012397646
7,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,95000,0.0047647012397646
8,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,99000,0.0047647012397646
9,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,103000,0.0047647012397646
10,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,107000,0.0047647012397646
11,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,111000,0.0047647012397646
12,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,115000,0.0047647012397646
13,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,119000,0.0047647012397646
14,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,123000,0.0047647012397646
15,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,101000,0.0056329807266592
16,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,105000,0.0056329807266592
17,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,109000,0.0056329807266592
18,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,113000,0.0056329807266592
19,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,117000,0.0056329807266592
